Team,Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,CP,Champs
⁠⁠,Bin,8,4,4,50%,4.13,1.63,3.13,4.46,288.38,8.54,13.8,409,14.7k,436.4,56.3%,32%,22.6%,4,
⁠⁠,Elk,8,4,4,50%,3.38,2.63,6.25,3.67,324.75,9.62,14.9,440,27.6k,817.8,74.8%,26.2%,24.3%,5,
⁠⁠,ON,8,4,4,50%,0.5,2.13,9.5,4.71,44.13,1.31,8.3,247,5k,146.8,77.7%,3.9%,13.7%,6,
⁠⁠,XUN,8,4,4,50%,2.25,2.38,7.88,4.26,179.5,5.32,11,327,13.2k,392.4,78.6%,17.5%,18.1%,5,
⁠⁠,Yagao,8,4,4,50%,2.63,3.13,6.88,3.04,275,8.14,13,386,21.2k,626.8,73.8%,20.4%,21.3%,4,
⁠⁠,Berserker,6,2,4,33.3%,3.17,1.67,2.67,3.5,314.17,10.13,13.6,438,14.3k,462.4,50%,27.1%,23.9%,3,
⁠⁠,Blaber,6,2,4,33.3%,2.5,2.67,7,3.56,194,6.26,11.7,378,12k,388.4,81.4%,21.4%,20.6%,4,
⁠⁠,EMENES,6,2,4,33.3%,2.5,2.33,4,2.79,250,8.06,11.9,384,15.3k,491.8,55.7%,21.4%,21%,5,
⁠⁠,Fudge,6,2,4,33.3%,3,3.33,3.83,2.05,253.83,8.18,12.5,402,15.9k,512.9,58.6%,25.7%,21.9%,3,
⁠⁠,Zven,6,2,4,33.3%,0.5,4,6,1.63,35.83,1.16,7.1,230,4.3k,139.5,55.7%,4.3%,12.6%,4,
⁠⁠,Canna,8,4,4,50%,2.13,2.38,5.13,3.05,266,8.4,12.2,384,18.2k,574.7,62.4%,18.3%,21.2%,5,
⁠⁠,Canyon,8,4,4,50%,2.25,1.75,6,4.71,198.63,6.27,11.1,349,7.8k,247.4,71%,19.4%,19.3%,4,
⁠⁠,Deft,8,4,4,50%,4.13,1.88,4.38,4.53,300.5,9.49,13.9,440,22.6k,714,73.1%,35.5%,24.3%,6,
⁠⁠,Kellin,8,4,4,50%,0.63,2.5,8.13,3.5,33.13,1.05,7.5,236,4.2k,134.1,75.3%,5.4%,13%,4,
⁠⁠,ShowMaker,8,4,4,50%,2.5,1.25,5.75,6.6,278.13,8.78,12.8,405,18.9k,597.2,71%,21.5%,22.3%,4,
⁠⁠,Humanoid,9,4,5,44.4%,2.33,3.33,5.89,2.47,269.78,9.01,12.4,414,19.5k,652.5,64.9%,18.4%,22.6%,6,
⁠⁠,Noah,9,4,5,44.4%,4.22,1.78,4.22,4.75,285.11,9.52,13.1,438,15.8k,527.5,66.7%,33.3%,23.9%,6,
⁠⁠,Oscarinin,9,4,5,44.4%,2.78,3.78,3.33,1.62,236,7.88,11.5,384,14.6k,486.6,48.2%,21.9%,20.9%,6,
⁠⁠,Razork,9,4,5,44.4%,2.44,2.78,7.67,3.64,176.44,5.89,10.7,357,11.8k,394.8,79.8%,19.3%,19.5%,6,
⁠⁠,Trymbi,9,4,5,44.4%,0.89,3.67,8.11,2.45,28.78,0.96,7.2,241,4k,134.3,71.1%,7%,13.1%,5,
⁠⁠,BrokenBlade,9,3,6,33.3%,1.56,3.22,5,2.03,264.22,7.64,12.5,362,16.8k,484.7,64.1%,15.2%,20.8%,8,
⁠⁠,Caps,9,3,6,33.3%,2.33,4,4.89,1.81,307.89,8.9,13.9,400,18.9k,546.7,70.7%,22.8%,23%,7,
⁠⁠,Hans Sama,9,3,6,33.3%,4.22,3.44,3.22,2.16,317.33,9.18,14.9,430,21.5k,620.8,72.8%,41.3%,24.7%,6,
⁠⁠,Mikyx,9,3,6,33.3%,0.67,4.67,7.22,1.69,39.44,1.14,7.9,229,7k,203.4,77.2%,6.5%,13.1%,7,
⁠⁠,Yike,9,3,6,33.3%,1.44,3.44,6.11,2.19,168.33,4.87,11.1,320,15k,434,73.9%,14.1%,18.4%,5,
⁠⁠,Kati,7,2,5,28.6%,2.29,3,3.43,1.9,232.71,8.69,10.7,400,13.5k,505.6,69%,27.6%,23%,6,
⁠⁠,Kiaya,7,2,5,28.6%,2.14,3.71,3.29,1.46,200.29,7.48,9.4,353,13.6k,506.7,65.5%,25.9%,20.3%,4,
⁠⁠,Levi,7,2,5,28.6%,1.57,2.57,4.86,2.5,147.71,5.52,9,336,7.9k,296.5,77.6%,19%,19.3%,7,
⁠⁠,Palette,7,2,5,28.6%,0.29,2.71,4.43,1.74,37.43,1.4,6.2,230,3.1k,116.2,56.9%,3.4%,13.2%,5,
⁠⁠,Slayder,7,2,5,28.6%,2,1.71,2.57,2.67,273,10.2,11.3,422,8.5k,318.5,55.2%,24.1%,24.3%,4,
⁠⁠,Chovy,4,4,0,100%,5.75,1,8.5,14.25,263,9.08,13.3,459,19.7k,681.4,73.1%,29.5%,22.1%,3,
⁠⁠,Delight,4,4,0,100%,0.75,1.5,13.25,9.33,35.25,1.22,7.8,271,3.7k,126.7,71.8%,3.8%,13%,2,
⁠⁠,Doran,4,4,0,100%,3.5,1,7.75,11.25,250.75,8.65,12.7,439,19.6k,677.6,57.7%,17.9%,21.1%,4,
⁠⁠,Peanut,4,4,0,100%,4,1.25,9.75,11,180.75,6.24,11.8,406,10.6k,367.1,70.5%,20.5%,19.5%,4,
⁠⁠,Peyz,4,4,0,100%,5.5,0.75,6.25,15.67,310.75,10.72,14.6,504,18.9k,653.9,60.3%,28.2%,24.3%,2,
⁠⁠,369,5,4,1,80%,2,1.8,7.4,5.22,218.6,8.13,10.2,379,13.5k,502.1,73.4%,15.6%,19.8%,4,
⁠⁠,Kanavi,5,4,1,80%,3,2.2,7.8,4.91,174,6.47,10.5,389,10.7k,396.7,84.4%,23.4%,20.3%,4,
⁠⁠,knight,5,4,1,80%,3.6,1.6,6.4,6.25,241.6,8.98,11.6,430,16.7k,620.4,78.1%,28.1%,22.5%,5,
⁠⁠,MISSING,5,4,1,80%,0.4,1.2,9.8,8.5,30.2,1.12,6.8,251,4.2k,155.8,79.7%,3.1%,13.1%,5,
⁠⁠,Ruler,5,4,1,80%,3.8,1.2,5,7.33,276.4,10.28,12.5,465,15.5k,575,68.8%,29.7%,24.3%,3,
⁠⁠,Aiming,8,5,3,62.5%,6.75,1.5,5,7.83,386.5,10.8,18.2,508,24.2k,675.1,88.7%,50.9%,27.6%,5,
⁠⁠,Bdd,8,5,3,62.5%,2.5,2.13,6.25,4.12,313.5,8.76,14.1,395,17.5k,488,66%,18.9%,21.4%,5,
⁠⁠,Cuzz,8,5,3,62.5%,1.63,2.25,7.25,3.94,190.5,5.32,11.7,326,9.4k,261.4,67%,12.3%,17.7%,5,
⁠⁠,Kiin,8,5,3,62.5%,2,3,6.13,2.71,287.75,8.04,13.7,383,17.3k,483,61.3%,15.1%,20.8%,6,
⁠⁠,Lehends,8,5,3,62.5%,0.38,2.5,8,3.35,40.38,1.13,8.2,229,4.1k,115.7,63.2%,2.8%,12.4%,3,
⁠⁠,GALA,8,5,3,62.5%,3.75,1.5,4.75,5.67,301.38,10.19,13.5,455,16.5k,558.3,71.6%,31.6%,24.5%,5,
⁠⁠,Hang,8,5,3,62.5%,0.25,2.38,8.25,3.58,32.75,1.11,7,236,3.8k,128.7,71.6%,2.1%,12.7%,5,
⁠⁠,Scout,8,5,3,62.5%,4.25,1.63,5,5.69,257.5,8.71,12.4,418,16.3k,551.5,77.9%,35.8%,22.5%,6,
⁠⁠,Tarzan,8,5,3,62.5%,2,1.88,7.75,5.2,167.63,5.67,10.2,345,8.5k,286,82.1%,16.8%,18.6%,4,
⁠⁠,Zika,8,5,3,62.5%,1.63,1.75,3.63,3,265.38,8.97,11.9,402,14.1k,477.5,44.2%,13.7%,21.7%,4,
⁠⁠,Carzzy,5,1,4,20%,4.2,2.8,3.4,2.71,311.4,9.39,14.2,429,20.7k,624.4,60.3%,33.3%,24.3%,5,
⁠⁠,Chasy,5,1,4,20%,3,3.2,4.4,2.31,244,7.36,12.6,381,14.9k,449.5,58.7%,23.8%,21.7%,4,
⁠⁠,Elyoya,5,1,4,20%,2,2.6,6.6,3.31,189.8,5.73,11.1,334,8.2k,247.3,68.3%,15.9%,19%,3,
⁠⁠,Hylissang,5,1,4,20%,0.4,5.2,7.4,1.5,31.8,0.96,7.5,226,5.2k,156.2,61.9%,3.2%,12.9%,4,
⁠⁠,Nisqy,5,1,4,20%,3,2.2,6,4.09,272.2,8.21,12.9,390,18.3k,553.5,71.4%,23.8%,22.1%,5,
⁠⁠,Contractz,5,4,1,80%,4.4,2,7.8,6.1,178.4,5.5,11.7,362,14.5k,447.3,66.3%,23.9%,19.2%,5,
⁠⁠,Dhokla,5,4,1,80%,3.8,1.8,6.6,5.78,254.2,7.84,12.9,399,17.2k,531.7,56.5%,20.7%,21.2%,5,
⁠⁠,FBI,5,4,1,80%,5.6,2,8,6.8,199.2,6.14,13.5,418,21.2k,653.1,73.9%,30.4%,22.1%,4,
⁠⁠,IgNar,5,4,1,80%,0.4,1.6,12.4,8,96.6,2.98,9,277,5.6k,171.7,69.6%,2.2%,14.7%,4,
⁠⁠,Palafox,5,4,1,80%,4.2,2.2,9.4,6.18,273.6,8.44,13.9,429,18k,554.1,73.9%,22.8%,22.8%,5,
⁠⁠,Faker,5,4,1,80%,2.8,2,5.4,4.1,271.4,9.14,12.4,417,13.8k,464.1,63.1%,21.5%,21.9%,3,
⁠⁠,Gumayusi,5,4,1,80%,4.4,1,4,8.4,264.4,8.91,13,439,15.9k,535.3,64.6%,33.8%,23%,5,
⁠⁠,Keria,5,4,1,80%,0.8,1.2,9.2,8.33,55.8,1.88,8,268,6.4k,215.7,76.9%,6.2%,14.1%,4,
⁠⁠,Oner,5,4,1,80%,2.6,1.6,8.2,6.75,172.2,5.8,10.6,356,9.2k,308.7,83.1%,20%,18.7%,2,
⁠⁠,Zeus,5,4,1,80%,2.4,1.6,3.6,3.75,275.2,9.27,12.6,426,18.1k,610.3,46.2%,18.5%,22.3%,5,
⁠⁠,Adam,4,0,4,0%,1.75,3.25,1.25,0.92,211.5,7.83,10.1,373,7.6k,280.4,50%,29.2%,22.1%,4,
⁠⁠,Crownie,4,0,4,0%,1.25,2,2.25,1.75,268,9.93,10.7,398,8.5k,316.1,58.3%,20.8%,23.6%,2,
⁠⁠,Labrov,4,0,4,0%,0.25,3.25,3.5,1.15,31.75,1.18,5.9,220,3.4k,125,62.5%,4.2%,13.1%,3,
⁠⁠,nuc,4,0,4,0%,1.75,2.75,1.25,1.09,228.25,8.46,10.1,376,12.2k,450.6,50%,29.2%,22.3%,4,
⁠⁠,Sheo,4,0,4,0%,1,3.25,4,1.54,145.25,5.38,8.6,319,4.5k,166.7,83.3%,16.7%,18.9%,3,
⁠⁠,APA,5,1,4,20%,2.8,4.6,1.8,1,254,8.12,11.8,377,14.6k,466.1,52.3%,31.8%,22%,4,
⁠⁠,CoreJJ,5,1,4,20%,0.6,3.6,3.6,1.17,40.4,1.29,7.1,227,3.5k,111.8,47.7%,6.8%,13.3%,3,
⁠⁠,Pyosik,5,1,4,20%,2.8,1.6,3.4,3.88,200.4,6.41,10.9,347,10.1k,324,70.5%,31.8%,20.3%,5,
⁠⁠,Summit,5,1,4,20%,1.2,3.2,2.6,1.19,249.8,7.98,11.4,364,10.9k,349.5,43.2%,13.6%,21.2%,3,
⁠⁠,Yeon,5,1,4,20%,1.4,2.4,2.4,1.58,290.8,9.29,12.4,396,13.1k,418.6,43.2%,15.9%,23.1%,4,
⁠⁠,Crisp,8,5,3,62.5%,1,2.88,10.13,3.87,34.38,1.1,8.1,258,5.7k,181.7,72.4%,6.5%,13.7%,3,
⁠⁠,Light,8,5,3,62.5%,6.13,1.5,5.75,7.92,295.38,9.44,14.9,477,21k,671.1,77.2%,39.8%,25.3%,6,
⁠⁠,TheShy,8,5,3,62.5%,2.88,2.88,5.25,2.83,251.38,8.04,12.4,398,20.7k,661,52.8%,18.7%,21.1%,4,
⁠⁠,Weiwei,8,5,3,62.5%,1.75,2.75,8.63,3.77,155.38,4.97,10.2,327,7.8k,248.6,67.5%,11.4%,17.3%,5,
⁠⁠,Xiaohu,8,5,3,62.5%,3.63,2.38,7.13,4.53,272.5,8.71,13.4,428,18.1k,578.1,69.9%,23.6%,22.7%,6,
Preload,TournamentByPlayerTournamentByPlayerRoleTournamentByChampionTournamentByChampionRoleChampionByPlayerChampionByTournamentPlayerByChampionByTournamentByPlayerByPlayerTeamByChampionByPlayerRoleByChampionRole,Tournament:,,,,,,,,,,,,,,,,,,
Player:,,Champion:,,,,,,,,,,,,,,,,,,
Role:,,Team:,,,,,,,,,,,,,,,,,,
Patch:,,Year:,,,,,,,,,,,,,,,,,,
Region:,,Tournament Level:,PrimarySecondaryShowmatch,,,,,,,,,,,,,,,,,
where:,Specifying a player?,,,,,,,,,,,,,,,,,,,
